1308682273.04 01308685346.31 40:4a:03:de:cd:fe -80

-95,-88,-95,-72,-95,-76,-74,-95,-80,-70,-63,-95,-76,-84,-83,-95,-68,-68,-71,-95,-83,-95,-63,-73,-95,-67,-75,-95,-71

-95,-95,-95,-82,-95,-80,-81,-95,-84,-70,-70,-95,-71,-95,-76,-95,-71,-69,-78,-86,-95,-95,-64,-70,-95,-61,-63,-95,-72

-53,-71,-55,-95,-53,-95,-95,-88,-78,-95,-70,-95,-95,-82,-95,-73,-95,-79,-95,-95,-86,-88,-95,-95,-89,-95,-67,-87,-95

-54,-80,-52,-95,-61,-95,-95,-88,-80,-95,-74,-95,-95,-81,-95,-72,-95,-83,-95,-95,-86,-88,-95,-95,-89,-95,-76,-87,-95

-73,-57,-85,-95,-77,-79,-95,-95,-84,-95,-95,-95,-95,-71,-77,-81,-95,-95,-95,-95,-34,-95,-76,-95,-95,-95,-82,-95,-95

-32,-72,-59,-82,-65,-83,-95,-88,-75,-95,-75,-95,-95,-83,-84,-75,-95,-76,-95,-95,-82,-95,-86,-95,-95,-95,-78,-89,-95

-95,-83,-95,-79,-85,-46,-89,-95,-95,-88,-87,-95,-84,-79,-47,-85,-86,-85,-88,-95,-70,-95,-38,-86,-95,-86,-71,-95,-80

-76,-56,-86,-85,-72,-68,-81,-95,-89,-88,-82,-95,-88,-79,-76,-64,-85,-83,-95,-95,-56,-95,-69,-89,-95,-95,-84,-95,-87

-95,-95,-95,-77,-95,-82,-81,-95,-84,-77,-76,-95,-71,-73,-79,-95,-57,-73,-81,-95,-95,-95,-72,-68,-95,-46,-69,-95,-72

-86,-82,-95,-79,-82,-49,-83,-86,-84,-79,-89,-95,-84,-83,-55,-80,-84,-87,-95,-95,-67,-95,-48,-95,-95,-87,-74,-95,-71

-81,-67,-88,-86,-75,-69,-95,-86,-78,-95,-83,-95,-95,-78,-63,-61,-95,-87,-95,-95,-46,-95,-61,-95,-95,-95,-84,-95,-89

-84,-64,-88,-88,-80,-76,-95,-95,-74,-95,-81,-95,-95,-82,-77,-64,-95,-88,-95,-95,-37,-95,-77,-95,-95,-95,-87,-95,-95

