id,d1,d2,d3,d4,d5
167,0.000000000000000000e+00,-1.800000000000000044e+00,-3.600000000000000089e+00,-2.299999999999999822e+00,-1.100000000000000089e+00
168,0.000000000000000000e+00,-8.000000000000000444e-01,-3.600000000000000089e+00,-2.000000000000000000e+00,-1.000000000000000000e+00
169,0.000000000000000000e+00,-9.000000000000000222e-01,-1.899999999999999911e+00,-2.899999999999999911e+00,-1.500000000000000000e+00
170,0.000000000000000000e+00,-1.399999999999999911e+00,-1.800000000000000044e+00,-2.799999999999999822e+00,-2.200000000000000178e+00
171,0.000000000000000000e+00,-2.700000000000000178e+00,-2.200000000000000178e+00,-3.399999999999999911e+00,-9.000000000000000222e-01
172,0.000000000000000000e+00,-1.300000000000000044e+00,-5.000000000000000000e-01,-6.999999999999999556e-01,-3.100000000000000089e+00
173,0.000000000000000000e+00,-2.899999999999999911e+00,-1.399999999999999911e+00,-2.000000000000000111e-01,-1.000000000000000056e-01
174,0.000000000000000000e+00,-1.899999999999999911e+00,-2.200000000000000178e+00,-3.899999999999999911e+00,-1.300000000000000044e+00
175,0.000000000000000000e+00,-5.999999999999999778e-01,-3.200000000000000178e+00,-4.299999999999999822e+00,-1.399999999999999911e+00
176,0.000000000000000000e+00,-2.700000000000000178e+00,-3.799999999999999822e+00,-3.899999999999999911e+00,-5.200000000000000178e+00
177,0.000000000000000000e+00,-4.000000000000000000e+00,-6.200000000000000178e+00,-7.500000000000000000e+00,-5.099999999999999645e+00
178,0.000000000000000000e+00,-4.700000000000000178e+00,-6.700000000000000178e+00,-6.500000000000000000e+00,-5.799999999999999822e+00
179,0.000000000000000000e+00,-2.799999999999999822e+00,-6.000000000000000000e+00,-7.299999999999999822e+00,-6.500000000000000000e+00
180,0.000000000000000000e+00,-3.700000000000000178e+00,-5.599999999999999645e+00,-8.500000000000000000e+00,-7.099999999999999645e+00
181,0.000000000000000000e+00,-4.500000000000000000e+00,-5.299999999999999822e+00,-5.700000000000000178e+00,-5.599999999999999645e+00
182,0.000000000000000000e+00,-3.000000000000000000e+00,-6.500000000000000000e+00,-5.799999999999999822e+00,-6.599999999999999645e+00
183,0.000000000000000000e+00,-3.799999999999999822e+00,-6.400000000000000355e+00,-5.400000000000000355e+00,-5.299999999999999822e+00
184,0.000000000000000000e+00,-2.899999999999999911e+00,-7.299999999999999822e+00,-6.799999999999999822e+00,-5.200000000000000178e+00
185,0.000000000000000000e+00,-2.100000000000000089e+00,-4.099999999999999645e+00,-5.400000000000000355e+00,-5.299999999999999822e+00
186,0.000000000000000000e+00,-1.300000000000000044e+00,-2.399999999999999911e+00,-5.500000000000000000e+00,-5.299999999999999822e+00
187,0.000000000000000000e+00,-2.200000000000000178e+00,-1.800000000000000044e+00,-4.799999999999999822e+00,-5.700000000000000178e+00
188,0.000000000000000000e+00,-1.600000000000000089e+00,-5.599999999999999645e+00,-3.799999999999999822e+00,-3.799999999999999822e+00
189,0.000000000000000000e+00,-2.000000000000000000e+00,-3.899999999999999911e+00,-4.599999999999999645e+00,-4.500000000000000000e+00
190,0.000000000000000000e+00,-2.600000000000000089e+00,-5.500000000000000000e+00,-5.000000000000000000e+00,-4.700000000000000178e+00
191,0.000000000000000000e+00,-2.600000000000000089e+00,-4.799999999999999822e+00,-4.299999999999999822e+00,-5.900000000000000355e+00
192,0.000000000000000000e+00,-3.299999999999999822e+00,-7.299999999999999822e+00,-6.000000000000000000e+00,-5.000000000000000000e+00
193,0.000000000000000000e+00,-1.100000000000000089e+00,-4.200000000000000178e+00,-5.799999999999999822e+00,-5.799999999999999822e+00
194,0.000000000000000000e+00,-2.299999999999999822e+00,-6.400000000000000355e+00,-5.900000000000000355e+00,-4.099999999999999645e+00
195,0.000000000000000000e+00,-4.000000000000000000e+00,-3.799999999999999822e+00,-5.700000000000000178e+00,-5.799999999999999822e+00
196,0.000000000000000000e+00,-2.200000000000000178e+00,-4.900000000000000355e+00,-6.500000000000000000e+00,-2.999999999999999889e-01
197,0.000000000000000000e+00,-2.000000000000000111e-01,-5.000000000000000000e+00,-5.500000000000000000e+00,-3.299999999999999822e+00
198,0.000000000000000000e+00,-4.599999999999999645e+00,-4.900000000000000355e+00,-4.200000000000000178e+00,-9.000000000000000222e-01
199,0.000000000000000000e+00,-6.900000000000000355e+00,-5.000000000000000000e+00,-5.900000000000000355e+00,-1.600000000000000089e+00
200,0.000000000000000000e+00,-4.599999999999999645e+00,-4.700000000000000178e+00,-5.000000000000000000e+00,-1.800000000000000044e+00
201,0.000000000000000000e+00,-5.500000000000000000e+00,-5.200000000000000178e+00,-5.299999999999999822e+00,-3.100000000000000089e+00
202,0.000000000000000000e+00,-6.700000000000000178e+00,-5.099999999999999645e+00,-6.599999999999999645e+00,-2.799999999999999822e+00
203,0.000000000000000000e+00,-6.000000000000000000e+00,-7.299999999999999822e+00,-6.400000000000000355e+00,-2.600000000000000089e+00
204,0.000000000000000000e+00,-6.299999999999999822e+00,-6.299999999999999822e+00,-6.099999999999999645e+00,-2.700000000000000178e+00
205,0.000000000000000000e+00,-5.500000000000000000e+00,-4.900000000000000355e+00,-5.599999999999999645e+00,-4.299999999999999822e+00
206,0.000000000000000000e+00,-4.200000000000000178e+00,-5.799999999999999822e+00,-6.599999999999999645e+00,-3.299999999999999822e+00
207,0.000000000000000000e+00,-4.400000000000000355e+00,-4.400000000000000355e+00,-5.900000000000000355e+00,-3.500000000000000000e+00
208,0.000000000000000000e+00,-5.400000000000000355e+00,-4.000000000000000000e+00,-4.700000000000000178e+00,-2.700000000000000178e+00
209,0.000000000000000000e+00,-4.799999999999999822e+00,-5.500000000000000000e+00,-4.099999999999999645e+00,-2.700000000000000178e+00
210,0.000000000000000000e+00,-3.799999999999999822e+00,-3.100000000000000089e+00,-2.799999999999999822e+00,-2.700000000000000178e+00
