timestamp,00:03:52:8B:24:C0,00:03:52:8B:53:F4,00:03:52:8B:53:F3,00:03:52:8B:53:F2,00:03:52:8B:53:F1,00:03:52:8B:53:F0,00:80:48:51:E8:52,1E:A1:E7:08:C2:B8,00:03:52:8B:2C:E0,00:03:52:8B:2C:E3,00:03:52:8B:2C:E2,00:03:52:8B:2C:E4,00:03:52:94:5D:81,00:03:52:94:5D:80,00:03:52:94:5D:83,00:03:52:94:5D:82,00:03:52:94:5D:84,00:1B:63:2D:5E:F9,00:03:52:8B:8B:61,00:03:52:8B:8B:60,00:03:52:8B:8B:63,00:03:52:8B:8B:62,00:03:52:8B:8B:64,00:1E:E5:F7:29:DF,00:03:52:8B:85:04,00:03:52:8B:85:02,00:03:52:8B:85:03,00:03:52:8B:85:00,00:03:52:8B:85:01,00:03:52:8B:87:24,00:03:52:8B:87:22,00:03:52:8B:87:23,00:03:52:8B:87:20,00:03:52:8B:87:21,00:24:7B:10:EE:60,26:AB:81:D1:88:73,00:03:52:8B:2E:A4,00:03:52:8B:2E:A3,00:03:52:8B:2E:A2,00:03:52:8B:2E:A1,00:03:52:8B:2E:A0,00:A0:F8:C3:BF:5A,00:03:52:8A:E8:72,00:03:52:8B:8D:12,00:03:52:8B:8D:13,00:03:52:8B:8D:10,00:03:52:8B:8D:11,00:03:52:8B:8D:14,00:03:52:8B:8C:E3,00:03:52:8B:8C:E2,00:03:52:8B:8C:E1,00:03:52:8B:8C:E0,00:A0:F8:DD:17:2A,00:03:52:8B:8C:E4,5C:0E:8B:13:40:E0,00:03:52:8B:37:61,00:03:52:8B:37:60,00:03:52:8B:37:63,00:03:52:8B:37:62,00:03:52:8B:37:64,00:A0:F8:C3:BD:75,00:03:52:8B:2C:E1,00:03:52:8B:24:C4,00:03:52:8B:24:C2,00:03:52:8B:24:C3,00:1A:70:F0:9C:4F,00:03:52:8B:24:C1,00:03:52:8B:2A:62,00:03:52:8B:2A:63,00:03:52:8B:2A:60,00:03:52:8B:2A:61,00:03:52:8B:2A:64,40:4A:03:DE:74:A0,00:03:52:8B:87:54,00:03:52:8B:87:53,00:03:52:8B:87:52,00:03:52:8B:87:51,00:03:52:8B:87:50,00:80:48:51:E8:74,00:24:01:E0:D1:7D,00:03:52:8F:73:04,00:03:52:8F:73:03,00:03:52:8F:73:02,00:03:52:8F:73:01,00:03:52:8F:73:00,00:03:52:8B:5F:60,00:03:52:8B:5F:61,00:03:52:8B:5F:62,00:03:52:8B:5F:63,00:03:52:8B:5F:64,00:03:52:8A:E8:70,00:03:52:8A:E8:71,00:03:52:8B:29:40,00:03:52:8B:29:41,00:03:52:8B:29:42,00:03:52:8B:29:43,00:03:52:8B:29:44,5C:0E:8B:13:B7:40,00:1E:E5:F6:F6:ED
698,-87,-95,-95,-95,-95,-95,-77,-85,-95,-95,-95,-95,-82,-83,-82,-82,-84,-95,-95,-95,-95,-95,-95,-95,-52,-52,-52,-40,-50,-70,-70,-70,-67,-70,-95,-87,-95,-95,-95,-95,-95,-95,-95,-89,-89,-90,-89,-87,-84,-81,-95,-95,-95,-95,-83,-95,-95,-95,-95,-95,-95,-95,-79,-80,-80,-57,-78,-84,-66,-65,-69,-93,-82,-95,-95,-95,-95,-95,-55,-95,-79,-79,-78,-78,-81,-36,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
526,-95,-95,-95,-95,-95,-95,-95,-95,-63,-63,-60,-61,-78,-95,-95,-95,-95,-61,-67,-91,-64,-64,-66,-69,-95,-95,-95,-95,-95,-78,-78,-77,-79,-77,-95,-95,-79,-57,-34,-34,-44,-95,-63,-78,-85,-95,-78,-81,-95,-95,-95,-58,-95,-95,-95,-95,-95,-95,-95,-95,-95,-68,-95,-88,-95,-95,-95,-72,-72,-72,-70,-72,-87,-64,-64,-64,-65,-65,-95,-87,-95,-95,-95,-95,-56,-95,-95,-95,-95,-95,-53,-58,-95,-95,-95,-95,-95,-81,-72
289,-95,-95,-95,-95,-95,-95,-95,-95,-76,-74,-74,-69,-95,-95,-95,-95,-95,-64,-71,-66,-68,-68,-70,-75,-95,-95,-95,-95,-95,-87,-68,-68,-64,-72,-95,-95,-95,-95,-95,-95,-67,-95,-59,-95,-95,-74,-95,-95,-68,-68,-68,-64,-95,-68,-95,-95,-95,-95,-95,-95,-95,-72,-95,-95,-95,-95,-95,-67,-82,-64,-62,-67,-66,-95,-95,-95,-95,-67,-95,-72,-58,-55,-55,-58,-57,-95,-95,-95,-95,-95,-69,-64,-95,-95,-95,-95,-95,-89,-87
345,-95,-95,-95,-95,-95,-95,-95,-91,-80,-80,-78,-95,-82,-82,-82,-82,-83,-58,-43,-51,-41,-44,-39,-61,-95,-95,-95,-95,-95,-66,-64,-64,-62,-63,-95,-95,-95,-70,-70,-88,-86,-95,-89,-75,-72,-72,-72,-71,-81,-95,-95,-66,-95,-82,-95,-95,-95,-95,-95,-95,-95,-78,-95,-95,-95,-95,-95,-61,-73,-81,-75,-76,-84,-48,-46,-46,-51,-51,-95,-80,-95,-95,-95,-95,-60,-95,-95,-95,-95,-95,-61,-71,-95,-95,-95,-95,-95,-86,-90
405,-95,-95,-95,-95,-95,-95,-95,-95,-77,-74,-72,-74,-95,-95,-89,-95,-89,-76,-95,-82,-95,-95,-95,-95,-95,-95,-95,-95,-95,-86,-85,-86,-86,-95,-95,-95,-95,-95,-95,-95,-70,-95,-79,-95,-95,-95,-95,-95,-95,-95,-95,-55,-95,-95,-95,-95,-95,-95,-95,-95,-95,-74,-95,-95,-95,-95,-95,-87,-83,-87,-85,-85,-72,-95,-95,-95,-95,-84,-95,-95,-95,-95,-95,-95,-56,-95,-95,-95,-95,-95,-76,-79,-95,-95,-95,-95,-95,-84,-95
341,-95,-95,-95,-95,-95,-95,-95,-91,-80,-80,-78,-95,-88,-89,-88,-89,-88,-50,-43,-54,-41,-44,-39,-61,-95,-95,-95,-95,-95,-70,-69,-75,-68,-66,-95,-95,-83,-83,-67,-69,-71,-95,-74,-83,-74,-82,-80,-72,-81,-95,-95,-67,-95,-82,-95,-95,-95,-95,-95,-95,-95,-78,-95,-95,-95,-95,-95,-67,-67,-73,-70,-67,-84,-69,-55,-58,-64,-66,-95,-80,-86,-61,-63,-81,-60,-95,-95,-95,-95,-95,-65,-71,-95,-95,-95,-95,-95,-91,-73
281,-95,-95,-95,-95,-95,-95,-95,-95,-73,-85,-85,-88,-95,-95,-95,-95,-95,-64,-77,-71,-64,-69,-58,-77,-95,-95,-95,-95,-95,-78,-79,-78,-95,-78,-95,-95,-95,-95,-95,-95,-59,-95,-61,-95,-95,-74,-95,-83,-95,-95,-95,-58,-95,-95,-95,-95,-95,-95,-95,-95,-95,-76,-95,-95,-95,-95,-95,-84,-68,-64,-65,-69,-66,-70,-70,-95,-95,-63,-95,-76,-95,-95,-95,-95,-78,-95,-95,-95,-95,-95,-67,-80,-95,-95,-95,-95,-95,-95,-79
548,-95,-95,-95,-95,-95,-95,-95,-95,-68,-69,-71,-75,-95,-95,-95,-95,-95,-67,-95,-71,-95,-95,-95,-87,-95,-95,-95,-95,-95,-75,-75,-76,-77,-73,-95,-95,-95,-95,-95,-95,-64,-95,-95,-89,-89,-89,-89,-88,-95,-95,-95,-49,-95,-95,-95,-95,-95,-95,-95,-95,-95,-67,-95,-95,-95,-95,-95,-84,-71,-78,-86,-83,-90,-95,-95,-95,-95,-72,-95,-87,-53,-51,-53,-95,-48,-95,-95,-95,-95,-95,-66,-95,-95,-95,-95,-95,-95,-95,-86
285,-95,-95,-95,-95,-95,-95,-95,-95,-72,-90,-64,-68,-95,-95,-95,-95,-95,-64,-70,-69,-67,-60,-60,-75,-95,-95,-95,-95,-95,-78,-69,-87,-73,-72,-95,-95,-95,-95,-95,-95,-60,-95,-59,-95,-95,-74,-95,-95,-68,-68,-68,-70,-95,-68,-95,-95,-95,-95,-95,-95,-95,-76,-95,-95,-95,-95,-95,-67,-82,-67,-62,-67,-66,-95,-95,-95,-95,-63,-95,-76,-47,-50,-47,-47,-50,-95,-95,-95,-95,-95,-63,-64,-95,-95,-95,-95,-95,-95,-79
349,-95,-95,-95,-95,-95,-95,-95,-91,-74,-95,-95,-95,-82,-82,-82,-82,-83,-34,-95,-60,-95,-95,-95,-61,-95,-95,-95,-95,-95,-90,-64,-64,-85,-63,-95,-95,-70,-69,-66,-68,-69,-95,-61,-75,-72,-72,-72,-71,-70,-70,-68,-70,-95,-74,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-71,-70,-76,-70,-70,-95,-48,-46,-46,-51,-52,-95,-83,-95,-95,-95,-95,-52,-95,-95,-95,-95,-95,-62,-60,-95,-95,-95,-95,-95,-86,-90
